url,Tab_link,Video_link
https://tonypolecastro.com/lessons/deja-vu-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Deja-Vu-1.pdf,https://player.vimeo.com/external/190319879.hd.mp4?s=fa405a2cfd5bfd05c5aabc1a11026fd85c737b0f&profile_id=174&download=1
https://tonypolecastro.com/lessons/deliverance-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Deliverance.pdf,https://player.vimeo.com/external/190319885.hd.mp4?s=c86bfcbd3e8a3c3797892fa69596939a8129d18a&profile_id=174&download=1
https://tonypolecastro.com/lessons/double-axle-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Double-Axle-1.pdf,https://player.vimeo.com/external/182586223.hd.mp4?s=637e2972a8fc03d31c4e5b38907dd4f8b8bbc6b4&profile_id=174&download=1
https://tonypolecastro.com/lessons/dungeon-despair-dm-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Dungeon-Master.pdf,https://player.vimeo.com/external/174437378.hd.mp4?s=6419021a8ec6b1761c7f8654067bd7c78a60bbd5&profile_id=174&download=1
https://tonypolecastro.com/lessons/edward-scissorhands-gm-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Edward-Scissorhands.pdf,https://player.vimeo.com/external/198775025.hd.mp4?s=4853a1e37ce10600aa92f285c512603ce15bb434&profile_id=174&download=1
https://tonypolecastro.com/lessons/elmer-fudd-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Elmer-Fudd.pdf,https://player.vimeo.com/external/187067603.hd.mp4?s=bb1d92c4e0d1a6f52199af0e9860eb6342af1711&profile_id=174&download=1
https://tonypolecastro.com/lessons/falcor-flies-g-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Falcor-Flies-Again.pdf,https://player.vimeo.com/external/172016100.hd.mp4?s=8b7446e413895698185c13a5c74892ee90f90a69&profile_id=174&download=1
https://tonypolecastro.com/lessons/five-minute-rice-d-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Five-Minute-Rice.pdf,https://player.vimeo.com/external/187067611.hd.mp4?s=78f9276c50efeb604995540c5761f6e8ecf542a6&profile_id=174&download=1
https://tonypolecastro.com/lessons/four-eyes-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Four-Eyes-1.pdf,https://player.vimeo.com/external/182586203.hd.mp4?s=206d3ff3a60ac41b616f22b7cb49f06967d52528&profile_id=174&download=1
https://tonypolecastro.com/lessons/geraldo-rivera-c-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Geraldo-Rivera.pdf,https://player.vimeo.com/external/199000618.hd.mp4?s=4d30cdd4286aee5391c5d0a618dfe25d0e18a28e&profile_id=174&download=1
https://tonypolecastro.com/lessons/goldberg-d-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Goldberg.pdf,https://player.vimeo.com/external/188730085.hd.mp4?s=9e6c23b37d4346e6672cbb32a29c41c240a34f11&profile_id=174&download=1
https://tonypolecastro.com/lessons/gravy-boat-e-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Gravy-Boat.pdf,https://player.vimeo.com/external/188730099.hd.mp4?s=b66a2376b3ae776ed71f45456794ebb9f1604193&profile_id=174&download=1
https://tonypolecastro.com/lessons/great-outdoors-dm-fp/,https://tonypolecastro.com/wp-content/uploads/2017/03/Great-Outdoors.pdf,https://player.vimeo.com/external/198947240.hd.mp4?s=8647d7c53ef7404551eca2b6ba622fd1471c55f7&profile_id=174&download=1
https://tonypolecastro.com/lessons/great-white-north-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Great-White-North.pdf,https://player.vimeo.com/external/198944311.hd.mp4?s=f93443124481897a0187d65b5b1bc58242cd794a&profile_id=174&download=1
https://tonypolecastro.com/lessons/groucho-marx-g-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Groucho-Marx.pdf,https://player.vimeo.com/external/198940917.hd.mp4?s=5077fbe4d90790003737627ed0b2d8265296a48c&profile_id=174&download=1
https://tonypolecastro.com/lessons/hacksaw-jim-duggan-c-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Hacksaw-Jim-Duggan.pdf,https://player.vimeo.com/external/188071362.hd.mp4?s=6447116ac3552a958a5249baf36f80057c421876&profile_id=174&download=1
https://tonypolecastro.com/lessons/hi-diddlee-ho-em-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Hi-diddlee-ho.pdf,https://player.vimeo.com/external/190341090.hd.mp4?s=b5eaf0638cffec15deb29820da9e0fb05e3e00cc&profile_id=174&download=1
https://tonypolecastro.com/lessons/hidden-sea-awesome-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Hidden-Sea-of-Awesome.pdf,https://player.vimeo.com/external/174430949.hd.mp4?s=9fe378866c0cff807a65f0a9fbe99ce181eac963&profile_id=174&download=1
https://tonypolecastro.com/lessons/icing-puck-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Icing.pdf,https://player.vimeo.com/external/188071375.hd.mp4?s=91f138abdf478c9a23d768a0e67d7e603d98d302&profile_id=174&download=1
https://tonypolecastro.com/lessons/jokers-wild-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Jokers-Are-Wild.pdf,https://player.vimeo.com/external/174413812.hd.mp4?s=35e7caa5995d0c724747223acc3c77e233876af3&profile_id=174&download=1
https://tonypolecastro.com/lessons/movement-location-d-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Movement-and-Location.pdf,https://player.vimeo.com/external/184897680.hd.mp4?s=acc0effeaea08c29bc83141f237a57a95a9c938e&profile_id=174&download=1
https://tonypolecastro.com/lessons/nancy-kerrigan-e-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Nancy-Kerrigan-1.pdf,https://player.vimeo.com/external/182586240.hd.mp4?s=df8908eb6a99b97fc5be1c17e65527eab119604d&profile_id=174&download=1
https://tonypolecastro.com/lessons/no-whammy-no-whammy-d-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/No-Whammy-No-Whammy.pdf,https://player.vimeo.com/external/188730118.hd.mp4?s=46eb1e9ba5eb3b9e9cef51068c9bc9326f01f7fd&profile_id=174&download=1
https://tonypolecastro.com/lessons/octomorphasis-a-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Octomorphasis.pdf,https://player.vimeo.com/external/188071380.hd.mp4?s=9f6907377bacdf3ac702d1249602cd0e8bdecfbb&profile_id=174&download=1
https://tonypolecastro.com/lessons/oingo-boingo-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Oingo-Boingo.pdf,https://player.vimeo.com/external/188730124.hd.mp4?s=e596c4135f6aa87b3341cd191f908f400c54300f&profile_id=174&download=1
https://tonypolecastro.com/lessons/parallel-parking-3/,https://tonypolecastro.com/wp-content/uploads/2015/01/Parallel-Parking.pdf,https://player.vimeo.com/external/170886905.hd.mp4?s=6eae2bbf58809b9dd04e129b86eb225f207894ce&profile_id=174&download=1
https://tonypolecastro.com/lessons/pat-sajak-em-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Pat-Sajak.pdf,https://player.vimeo.com/external/198937235.hd.mp4?s=536531ede4d195916d5bdecaac3b022645f1e95c&profile_id=174&download=1
https://tonypolecastro.com/lessons/raking-leaves-e-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Raking-the-Leaves.pdf,https://player.vimeo.com/external/174450263.hd.mp4?s=297c855248d4844a22912f3590f1dcb2d3b5d85d&profile_id=174&download=1
https://tonypolecastro.com/lessons/rockem-sockem-robots-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Rockem-Sockem-Robots.pdf,https://player.vimeo.com/external/198970912.hd.mp4?s=bd9aa3fa81e8c4408922c112b24add3c9101ae9b&profile_id=174&download=1
https://tonypolecastro.com/lessons/rope-climb-c-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Rope-Climb-1.pdf,https://player.vimeo.com/external/182586167.hd.mp4?s=ad1aa0b544eb7c94d2390d2426b9f41864c6aeb1&profile_id=174&download=1
https://tonypolecastro.com/lessons/scarecrow-dm-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Scarecrow-1.pdf,https://player.vimeo.com/external/198798962.hd.mp4?s=0a857dc70d5137659f9fd46760f46cbc85387e01&profile_id=174&download=1
https://tonypolecastro.com/lessons/scrubbing-bubbles-d-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Scrubbing-Bubbles.pdf,https://player.vimeo.com/external/198763122.hd.mp4?s=4d9e453afdd11a6968f0f9d85d73071c8ccf553c&profile_id=174&download=1
https://tonypolecastro.com/lessons/skull-crossbones-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Skull-and-Crossbones.pdf,https://player.vimeo.com/external/188071383.hd.mp4?s=b3e8852f6e41cb2579834981cd248cffd3958a1f&profile_id=174&download=1
https://tonypolecastro.com/lessons/strong-man-e-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Strong-Man.pdf,https://player.vimeo.com/external/190900229.hd.mp4?s=55481a8d80fb3561e287e20456c63dc04b9159d8&profile_id=174&download=1
https://tonypolecastro.com/lessons/sweeter-spot-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Sweeter-Spot.pdf,https://player.vimeo.com/external/170851412.hd.mp4?s=f6456ce900eb4e4c63b9f00034d2119841c0a57f&profile_id=174&download=1
https://tonypolecastro.com/lessons/swirly-b-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Swirly.pdf,https://player.vimeo.com/external/198796213.hd.mp4?s=aa40deb3f2afb12851ef59811e520fd2386c05dd&profile_id=174&download=1
https://tonypolecastro.com/lessons/total-neck-domination-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Total-Neck-Domination.pdf,https://player.vimeo.com/external/180978456.hd.mp4?s=548489e85756b48cad1f8408ca3dcd536146cd73&profile_id=174&download=1
https://tonypolecastro.com/lessons/wallflower-am-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Wallflower.pdf,https://player.vimeo.com/external/187067645.hd.mp4?s=9b8ab2e82e75d20dc1ce8104f491be4ef6e3e08e&profile_id=174&download=1
https://tonypolecastro.com/lessons/yeti-c-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Yeti.pdf,https://player.vimeo.com/external/190900231.hd.mp4?s=431afa0d904c0215f0d3ff11564be5bb2589b6db&profile_id=174&download=1
https://tonypolecastro.com/lessons/wu1-alternate-picking-flp-2/,https://tonypolecastro.com/wp-content/uploads/2015/01/WU1-Alternate-Picking-SC.pdf,https://player.vimeo.com/external/171826327.hd.mp4?s=02e88de4ec0375649ba276b4b7374ceb5c90f9dd&profile_id=113&download=1
https://tonypolecastro.com/lessons/wu2-alternate-thumb-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/WU2-Alternate-Thumb-SC.pdf,https://player.vimeo.com/external/171829964.hd.mp4?s=22f71d9f931c9aa5e45b87a5e6928e6a3537122d&profile_id=174&download=1
https://tonypolecastro.com/lessons/wu3-adjacent-strings-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/WU3-Adjacent-Strings-SC.pdf,https://player.vimeo.com/external/174886468.hd.mp4?s=8a97f7b4959c90096fb162c5d7869ff52b9e5389&profile_id=174&download=1
https://tonypolecastro.com/lessons/wu4-string-awareness-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/WU4-String-Awareness-SC.pdf,https://player.vimeo.com/external/174891652.hd.mp4?s=32ea08aa6553936538ac405cf79cf56c774ca376&profile_id=174&download=1
https://tonypolecastro.com/lessons/wu5-ddu-crosspicking-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/WU5-DDU-Crosspicking-SC.pdf,https://player.vimeo.com/external/180355622.hd.mp4?s=22984fa869bfb53ca412917205b0b1a5630a7cc2&profile_id=174&download=1
https://tonypolecastro.com/lessons/wu6-forward-roll-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/WU6-Forward-Roll-SC.pdf,https://player.vimeo.com/external/180355626.hd.mp4?s=30a45f0f504ad49ed429567394a49318c7e6133b&profile_id=174&download=1
https://tonypolecastro.com/lessons/wu7-finger-pairs-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/WU7-Finger-Pairs-SC.pdf,https://player.vimeo.com/external/180355641.hd.mp4?s=b7c5f9a5a5b9e24345b933a2a57733fc7568e2ff&profile_id=174&download=1
https://tonypolecastro.com/lessons/wu8-backward-roll-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/WU8-Backward-Roll-SC.pdf,https://player.vimeo.com/external/180355657.hd.mp4?s=a5cfbd5ec538582ee6b0a3ea7be54385033e1e6a&profile_id=174&download=1
